"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"760","ABC/Post","2015-03-26","2015-03-29","2015-04-02T21:14:39Z",1003,"Adults","Live Phone",25,45,30,"http://elections.huffingtonpost.com/pollster/polls/abc-post-21963","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2015/04/02/National-Politics/Polling/release_393.xml","Nonpartisan","None","",1,,"Cruz",-20
"761","YouGov/Economist","2015-03-21","2015-03-23","2015-03-27T20:44:33Z",1000,"Adults","Internet",31,35,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21931","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/onbotxemly/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-4
"762","YouGov/Economist","2015-03-14","2015-03-16","2015-03-24T23:40:28Z",1000,"Adults","Internet",33,36,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21911","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mfqsfo0scc/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-3
"763","YouGov/Economist","2015-03-07","2015-03-09","2015-03-25T19:51:35Z",1000,"Adults","Internet",27,37,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21914","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/w2usa9vt0b/econToplines%20(1).pdf","Nonpartisan","None","",1,,"Cruz",-10
"764","Gallup","2015-03-02","2015-03-04","2015-03-13T01:47:47Z",1522,"Adults","Live Phone",22,28,50,"http://elections.huffingtonpost.com/pollster/polls/gallup-21866","http://www.gallup.com/poll/181916/americans-views-netanyahu-less-positive-post-visit.aspx","Nonpartisan","None","",1,,"Cruz",-6
"765","YouGov/Economist","2015-02-28","2015-03-02","2015-03-09T21:13:37Z",1000,"Adults","Internet",31,36,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21835","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dwof401ark/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"766","Quinnipiac","2015-02-26","2015-03-02","2015-03-05T21:56:04Z",1286,"Registered Voters","Live Phone",23,29,47,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21821","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2172","Nonpartisan","None","",1,,"Cruz",-6
"767","YouGov/Economist","2015-02-21","2015-02-23","2015-02-27T01:55:05Z",1000,"Adults","Internet",29,34,36,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21792","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2q8maq3vef/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"768","PPP (D)","2015-02-20","2015-02-22","2015-02-26T03:01:42Z",691,"Likely Voters","IVR/Online",26,38,36,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21784","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_22515.pdf","Pollster","Dem","",1,,"Cruz",-12
"769","YouGov/Economist","2015-02-07","2015-02-09","2015-02-18T02:05:00Z",1000,"Adults","Internet",31,32,37,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21744","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xppzgoshem/econToplines%20(3).pdf","Nonpartisan","None","",1,,"Cruz",-1
"770","YouGov/Economist","2015-01-31","2015-02-02","2015-02-06T01:52:36Z",1000,"Adults","Internet",28,40,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21693","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p38svgr9rn/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"771","YouGov/Economist","2015-01-24","2015-01-26","2015-02-06T01:10:43Z",1000,"Adults","Internet",30,38,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21692","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/94ju0513wp/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-8
"772","YouGov/Economist","2015-01-17","2015-01-19","2015-01-22T02:07:08Z",1000,"Adults","Internet",29,38,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21629","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7ukpj83qpe/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"773","YouGov/Economist","2015-01-10","2015-01-12","2015-01-15T00:35:02Z",1000,"Adults","Internet",32,41,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21599","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jpkqpdm59t/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"774","YouGov/Economist","2015-01-03","2015-01-05","2015-01-07T21:41:36Z",1000,"Adults","Internet",27,39,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21576","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/biwuw36tjk/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"775","YouGov/Economist","2014-12-27","2014-12-29","2015-01-07T04:16:27Z",1000,"Adults","Internet",29,43,28,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21572","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ing4x6qpf7/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-14
"776","YouGov/Economist","2014-12-20","2014-12-22","2015-01-07T04:01:46Z",1000,"Adults","Internet",28,42,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21571","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ip6c30gywc/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-14
"777","YouGov/Economist","2014-12-13","2014-12-15","2014-12-24T17:40:54Z",1000,"Adults","Internet",28,42,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21545","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/e0pwlx2jc8/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-14
"778","YouGov/Economist","2014-12-06","2014-12-08","2014-12-24T17:35:28Z",1000,"Adults","Internet",28,38,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21544","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/teo2s0zz5p/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-10
"779","YouGov/Economist","2014-11-22","2014-11-24","2014-12-05T23:23:00Z",1000,"Adults","Internet",29,36,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21493","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6tb0rolzqi/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-7
"780","Quinnipiac","2014-11-18","2014-11-23","2014-12-03T17:55:56Z",1623,"Registered Voters","Live Phone",21,29,50,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21481","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2116","Nonpartisan","None","",1,,"Cruz",-8
"781","YouGov/Economist","2014-11-15","2014-11-17","2014-12-05T23:16:30Z",1000,"Adults","Internet",28,40,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21492","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/c71vqg1zu1/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"782","NBC/WSJ","2014-11-14","2014-11-17","2014-11-19T23:47:09Z",1000,"Adults","Live Phone",16,26,58,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-21447","http://newscms.nbcnews.com/sites/newscms/files/141581_november_nbc-wsj_filled-in.pdf","Nonpartisan","None","",1,,"Cruz",-10
"783","YouGov/Economist","2014-11-08","2014-11-10","2014-12-05T23:09:48Z",1000,"Adults","Internet",32,37,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21491","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ofjleryhfh/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"784","YouGov/Economist","2014-11-01","2014-11-03","2014-11-12T17:42:57Z",1000,"Adults","Internet",28,40,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21425","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5ay3ii6cio/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"785","YouGov/Economist","2014-10-25","2014-10-27","2014-11-12T17:16:51Z",1000,"Adults","Internet",32,37,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21424","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sqyquubzea/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"786","YouGov/Economist","2014-10-18","2014-10-20","2014-11-12T16:47:39Z",1000,"Adults","Internet",30,36,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21423","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x7474kav9p/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"787","YouGov/Economist","2014-10-11","2014-10-13","2014-10-16T18:55:06Z",1000,"Adults","Internet",28,41,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20905","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3ahawzfzp3/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-13
"788","YouGov/Economist","2014-10-04","2014-10-06","2014-10-10T15:42:26Z",1000,"Adults","Internet",30,35,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20791","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tpx0yelhkc/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"789","YouGov/Economist","2014-09-27","2014-09-29","2014-10-10T15:32:35Z",1000,"Adults","Internet",25,39,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20790","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b0obdj3l9f/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-14
"790","YouGov/Economist","2014-09-20","2014-09-22","2014-09-26T15:47:54Z",1000,"Adults","Internet",31,32,37,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20590","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0pgcgrpbx9/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-1
"791","YouGov/Economist","2014-09-13","2014-09-15","2014-09-18T16:13:55Z",1000,"Adults","Internet",34,36,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20492","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/w4lv7z1xnz/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-2
"792","YouGov/Economist","2014-09-06","2014-09-08","2014-09-15T15:17:47Z",1000,"Adults","Internet",27,40,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20426","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ggkntw9ysn/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-13
"793","YouGov/Economist","2014-08-30","2014-09-01","2014-09-05T21:53:40Z",1000,"Adults","Internet",31,38,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20284","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3w721b8o85/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-7
"794","YouGov/Economist","2014-08-23","2014-08-25","2014-08-28T18:42:18Z",1000,"Adults","Internet",29,40,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20229","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3q5xgxw54u/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-11
"795","YouGov/Economist","2014-08-16","2014-08-18","2014-08-22T20:48:10Z",1000,"Adults","Internet",28,40,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20180","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qaprx6ei8u/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"796","YouGov/Economist","2014-08-09","2014-08-11","2014-08-18T17:01:46Z",1000,"Adults","Internet",30,38,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20130","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kpttc84jke/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-8
"797","YouGov/Economist","2014-08-02","2014-08-04","2014-08-07T14:18:23Z",1000,"Adults","Internet",27,39,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20060","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4p77753nxv/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"798","YouGov/Economist","2014-07-26","2014-07-28","2014-07-30T14:49:00Z",1000,"Adults","Internet",26,39,36,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20005","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zfxv8cg1n7/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-13
"799","AP-GfK (Web)","2014-07-24","2014-07-28","2014-08-01T15:04:22Z",1044,"Adults","Internet",22,30,48,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-20024","http://ap-gfkpoll.com/main/wp-content/uploads/2014/08/AP-GfK-July-2014-Poll-Topline-FINAL_Politics.pdf","Nonpartisan","None","",1,,"Cruz",-8
"800","YouGov/Economist","2014-07-19","2014-07-21","2014-07-23T16:00:34Z",1000,"Adults","Internet",28,40,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19908","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oum29cwcdw/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-12
"801","YouGov/Economist","2014-07-12","2014-07-14","2014-07-16T18:32:20Z",1000,"Adults","Internet",31,38,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19867","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xo0qdo71c4/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-7
"802","Gallup","2014-07-07","2014-07-10","2014-07-17T15:20:08Z",1013,"Adults","Live Phone",25,23,51,"http://elections.huffingtonpost.com/pollster/polls/gallup-19870","http://www.gallup.com/poll/173402/clinton-best-known-best-liked-potential-2016-candidate.aspx","Nonpartisan","None","",1,,"Cruz",2
"803","YouGov/Economist","2014-07-05","2014-07-07","2014-07-09T15:31:51Z",1000,"Adults","Internet",29,35,36,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19819","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ohtvouo0m3/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"804","YouGov/Economist","2014-06-28","2014-06-30","2014-07-07T14:50:40Z",1000,"Adults","Internet",29,39,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19801","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9khafvwx45/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-10
"805","Quinnipiac","2014-06-24","2014-06-30","2014-07-08T15:18:21Z",723,"Registered Voters","Live Phone",23,26,51,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-19810","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058","Nonpartisan","None","",1,,"Cruz",-3
"806","YouGov/Economist","2014-06-21","2014-06-23","2014-06-25T15:14:53Z",1000,"Adults","Internet",30,40,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19750","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/whwya8cz98/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-10
"807","YouGov/Economist","2014-06-14","2014-06-16","2014-06-20T16:52:09Z",1000,"Adults","Internet",29,40,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19716","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sksflbbp35/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-11
"808","YouGov/Economist","2014-06-07","2014-06-09","2014-06-11T19:04:50Z",1000,"Adults","Internet",30,36,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19633","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wfvx48bs5j/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"809","Saint Leo University","2014-05-28","2014-06-04","2014-06-11T20:19:16Z",802,"Likely Voters","Internet",31,38,,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-19639","http://polls.saintleo.edu/wp-content/uploads/2014/06/National-Survey-Toplines-Questions-1-24.pdf","Nonpartisan","None","",1,,"Cruz",-7
"810","FOX","2014-04-13","2014-04-15","2014-04-17T14:27:44Z",1012,"Registered Voters","Live Phone",23,31,46,"http://elections.huffingtonpost.com/pollster/polls/fox-19256","http://www.foxnews.com/politics/interactive/2014/04/21/fox-news-poll-independents-more-likely-to-back-anti-obamacare-candidates/","Nonpartisan","None","",1,,"Cruz",-8
"811","YouGov/Economist","2014-03-22","2014-03-24","2014-03-26T16:39:56Z",1000,"Adults","Internet",32,35,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19132","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mlun45jw3v/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-3
"812","AP-GfK (Web)","2014-03-20","2014-03-24","2014-05-15T20:01:12Z",1012,"Adults","Internet",18,30,52,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-19459","http://ap-gfkpoll.com/main/wp-content/uploads/2014/04/AP-GfK-March-2014-Poll-Topline-Final_Congress-and-2016-updated.pdf","Nonpartisan","None","",1,,"Cruz",-12
"813","Saint Leo University","2014-03-16","2014-03-18","2014-03-27T20:44:32Z",1009,"Adults","Internet",35,40,,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-19147","http://polls.saintleo.edu/christie-position-down-nationally-but-up-among-gop/","Nonpartisan","None","",1,,"Cruz",-5
"814","PPP (D)","2014-03-06","2014-03-09","2014-03-14T16:16:21Z",1152,"Likely Voters","Automated Phone",27,41,33,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-19043","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_314.pdf","Pollster","Dem","",1,,"Cruz",-14
"815","YouGov/Economist","2014-02-22","2014-02-24","2014-02-28T15:30:55Z",1000,"Adults","Internet",30,36,34,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18940","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ofqqzvdv1r/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"816","YouGov/Economist","2014-02-15","2014-02-17","2014-02-20T15:03:19Z",1000,"Adults","Internet",27,41,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18876","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/iibkwromog/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-14
"817","PPP (D)","2014-01-23","2014-01-26","2014-01-29T17:01:44Z",845,"Likely Voters","Automated Phone",28,38,34,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18741","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_129.pdf","Pollster","Dem","",1,,"Cruz",-10
"818","YouGov/Economist","2014-01-11","2014-01-13","2014-01-16T17:36:06Z",1000,"Adults","Internet",29,38,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18681","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l9ed6s82hh/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"819","YouGov/Economist","2013-12-14","2013-12-16","2013-12-18T21:13:07Z",1000,"Adults","Internet",29,42,29,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18573","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m8yqd2wrtk/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-13
